,es,ar,cs,de,id,ko,ja,lv,nl,it
0,0.900562851782364,0.879852125693161,0.8604206500956022,0.8813559322033898,0.8835489833641406,0.8876404494382022,0.8092485549132948,0.8712121212121212,0.9001883239171373,0.8884758364312269
1,0.8695652173913043,0.8612099644128114,0.8560885608856088,0.8571428571428571,0.8368794326241136,0.795774647887324,0.754863813229572,0.8808664259927798,0.8759124087591241,0.906474820143885
2,0.8876712328767122,0.8042895442359249,0.8648648648648649,0.7968749999999999,0.8787061994609164,0.8346883468834688,0.7058823529411764,0.8617886178861788,0.8937329700272479,0.8852459016393444
3,0.8345323741007195,0.8467153284671534,0.8740740740740741,0.9117647058823529,0.9064748201438848,0.7555555555555555,0.7938931297709925,0.888888888888889,0.8939393939393939,0.9130434782608695
4,0.8692579505300353,0.8650519031141869,0.845360824742268,0.8951048951048951,0.8581314878892734,0.8491228070175437,0.8085106382978724,0.8263888888888888,0.8975265017667845,0.8919860627177701
5,0.8841201716738197,0.8384279475982533,0.8487394957983193,0.853448275862069,0.8770491803278687,0.8360655737704918,0.6851851851851851,0.8547008547008548,0.8782608695652173,0.8917748917748918
6,0.864,0.8780487804878049,0.883720930232558,0.8120300751879699,0.9354838709677419,0.7874015748031495,0.7751937984496124,0.9016393442622951,0.8333333333333334,0.9523809523809523
7,0.8857142857142857,0.8472222222222222,0.8689655172413793,0.8857142857142857,0.9444444444444444,0.7916666666666666,0.7746478873239436,0.8299319727891157,0.822695035460993,0.9452054794520549
8,0.857142857142857,0.8625,0.8795180722891567,0.8705882352941177,0.8875000000000001,0.8152866242038218,0.8322981366459627,0.8690476190476191,0.8944099378881988,0.9506172839506174
9,0.8589743589743589,0.8846153846153846,0.8860759493670886,0.8831168831168831,0.8888888888888888,0.8227848101265823,0.8441558441558442,0.855263157894737,0.8627450980392156,0.8860759493670886
10,0.8,0.8571428571428572,0.8848484848484849,0.8819875776397514,0.8679245283018868,0.7792207792207793,0.7019867549668874,0.8679245283018868,0.8354430379746836,0.8846153846153846
11,0.8607594936708861,0.8305084745762712,0.8699186991869919,0.8353413654618473,0.9112903225806451,0.768595041322314,0.7540983606557377,0.8196721311475411,0.9156626506024096,0.928
12,0.7428571428571429,0.855263157894737,0.8345323741007195,0.8285714285714285,0.855263157894737,0.8435374149659863,0.676923076923077,0.7445255474452555,0.7681159420289855,0.8489208633093526
13,0.9251700680272108,0.9054054054054054,0.87248322147651,0.8827586206896552,0.9251700680272108,0.896551724137931,0.8843537414965986,0.9452054794520548,0.9251700680272108,0.8979591836734694
14,0.8699186991869918,0.8559670781893004,0.8429752066115702,0.874493927125506,0.8806584362139918,0.771186440677966,0.7878787878787878,0.8784313725490196,0.8487394957983194,0.8951612903225807
15,0.9,0.7857142857142858,0.8571428571428572,0.8470588235294119,0.8051948051948052,0.8,0.7901234567901235,0.7749999999999999,0.8674698795180722,0.8717948717948718
16,0.8947368421052632,0.836734693877551,0.9206349206349206,0.9021739130434783,0.9145728643216081,0.8297872340425533,0.7608695652173914,0.8602150537634408,0.8648648648648649,0.8465608465608465
