Question,Accuracy
1,0.2857142857142857
2,0.14285714285714285
3,0.2857142857142857
4,0.42857142857142855
5,0.14285714285714285
6,0.14285714285714285
7,0.2857142857142857
8,0.0
9,0.5714285714285714
10,0.14285714285714285
11,0.42857142857142855
12,0.2857142857142857
13,0.14285714285714285
14,0.14285714285714285
15,0.42857142857142855
16,0.2857142857142857
17,0.14285714285714285
18,0.14285714285714285
19,0.2857142857142857
20,0.14285714285714285
21,0.2857142857142857
22,0.0
23,0.14285714285714285
24,0.42857142857142855
25,0.0
26,0.14285714285714285
27,0.14285714285714285
28,0.42857142857142855
29,0.14285714285714285
30,0.14285714285714285
31,0.42857142857142855
32,0.14285714285714285
33,0.14285714285714285
34,0.14285714285714285
35,0.5714285714285714
36,0.7142857142857143
37,0.42857142857142855
38,0.14285714285714285
39,0.14285714285714285
40,0.14285714285714285
41,0.2857142857142857
42,0.14285714285714285
43,0.14285714285714285
44,0.14285714285714285
45,0.0
46,0.0
47,0.2857142857142857
48,0.5714285714285714
49,0.2857142857142857
50,0.14285714285714285
51,0.42857142857142855
52,0.2857142857142857
53,0.14285714285714285
54,0.14285714285714285
55,0.5714285714285714
56,0.14285714285714285
57,0.14285714285714285
58,0.0
59,0.2857142857142857
60,0.2857142857142857
61,0.42857142857142855
62,0.2857142857142857
63,0.2857142857142857
64,0.14285714285714285
65,0.42857142857142855
66,0.14285714285714285
67,0.2857142857142857
68,0.2857142857142857
69,0.0
70,0.2857142857142857
71,0.14285714285714285
72,0.14285714285714285
73,0.42857142857142855
74,0.14285714285714285
75,0.14285714285714285
76,0.2857142857142857
77,0.14285714285714285
78,0.14285714285714285
79,0.5714285714285714
80,0.0
81,0.42857142857142855
82,0.14285714285714285
83,0.2857142857142857
84,0.14285714285714285
85,0.42857142857142855
86,0.14285714285714285
87,0.42857142857142855
88,0.42857142857142855
89,0.2857142857142857
90,0.14285714285714285
91,0.0
92,0.0
93,0.2857142857142857
94,0.0
95,0.0
