,Rombos-LLM-V2.5-Qwen-32b-scores,oxyge1-33B-scores,Lamarck-14B-v0.6,ultiima-32B-scores,TheBeagle-v2beta-32B-MGS-scores,Qwentile2.5-32B-Instruct-scores
0,0.5,0.5,0.25,0.75,0.5,0.75
1,0.5,0.75,0.25,0.5,0.25,0.5
2,0.5,0.5,0.25,0.25,0.5,0.5
3,0.25,0.75,0.75,0.25,0.25,0.5
4,0.25,0.5,0.25,0.25,0.25,0.25
5,0.5,1.0,0.25,0.5,0.25,0.5
6,0.5,0.5,0.5,0.5,0.5,0.25
7,0.75,0.25,0.25,0.5,0.25,0.25
8,0.25,0.5,0.75,0.25,0.25,0.5
9,0.75,0.25,0.25,0.75,0.5,0.25
10,0.5,0.25,0.5,0.5,0.75,0.5
11,0.25,0.25,0.25,0.5,0.25,0.25
12,0.25,1.0,0.25,0.5,0.5,0.5
13,0.75,0.25,0.25,0.75,0.25,0.75
14,0.5,0.25,0.5,0.25,0.5,0.25
15,0.5,0.25,0.5,0.5,0.75,1.0
16,0.25,0.5,0.5,0.25,0.25,0.5
17,0.25,0.25,0.5,0.25,0.5,0.5
18,0.25,0.25,0.5,0.75,0.75,0.75
19,0.75,0.5,0.75,0.5,0.25,0.5
20,0.5,0.25,0.5,0.25,0.25,0.5
21,0.25,0.75,0.25,0.5,0.5,0.5
22,0.5,0.25,0.5,0.25,0.5,0.25
23,0.25,0.25,0.5,0.25,0.25,0.25
24,0.25,0.5,0.25,0.5,0.5,0.5
25,0.25,0.5,0.25,0.25,0.5,0.5
26,0.5,0.5,0.25,0.5,0.5,0.5
27,0.5,0.25,0.25,0.75,0.5,0.75
28,0.25,0.25,0.25,0.5,0.75,0.5
29,0.5,0.25,0.5,0.5,0.75,0.25
30,0.5,0.5,0.5,0.5,0.25,0.25
31,0.5,0.5,0.25,0.25,0.25,0.5
32,0.5,0.25,0.25,0.5,0.5,0.5
33,0.5,0.25,0.25,0.5,0.25,0.5
34,0.5,0.5,0.5,0.25,0.25,0.75
35,0.25,0.75,0.5,0.25,0.75,0.25
36,0.75,0.25,0.75,0.5,0.5,0.5
37,0.75,0.25,0.5,0.75,0.5,0.5
38,0.25,0.25,0.25,0.25,0.25,0.5
39,0.25,0.5,0.25,0.5,0.25,0.75
40,0.75,0.25,0.25,0.75,0.5,0.75
41,0.25,0.5,0.5,0.25,0.25,0.5
42,0.75,0.75,0.5,0.25,0.25,0.5
43,0.25,0.5,0.5,0.5,0.5,0.25
44,0.25,0.25,0.25,0.25,0.5,0.25
45,0.5,0.75,1.0,0.25,0.5,0.25
46,0.25,0.5,0.5,0.25,0.25,0.25
47,0.5,0.75,0.25,0.5,0.75,0.25
48,0.5,0.5,0.25,0.25,0.5,0.75
49,0.25,0.25,0.5,0.25,0.5,0.5
50,0.25,0.75,0.5,0.5,0.5,0.5
51,0.25,0.25,0.25,0.75,0.75,0.5
52,0.5,0.5,0.25,0.25,0.5,0.5
53,0.25,0.5,0.25,0.25,0.25,0.25
54,0.5,0.5,0.5,0.5,0.25,0.5
55,0.25,0.5,0.75,0.5,0.25,0.5
56,0.25,0.75,1.0,0.25,0.25,0.5
57,0.25,0.5,0.25,0.5,0.25,0.5
58,1.0,0.25,0.5,0.5,0.75,0.75
59,0.25,0.5,0.25,0.25,0.5,0.25
60,0.5,0.25,0.25,0.25,0.25,0.5
61,0.25,0.5,0.5,0.75,0.75,0.25
62,0.25,0.5,0.5,0.25,0.5,0.25
63,0.75,0.5,0.25,0.5,0.75,0.25
64,0.25,0.25,0.25,0.5,0.75,0.75
65,0.5,0.75,0.5,0.75,0.25,0.25
66,0.5,0.5,0.5,0.75,0.25,0.25
67,0.75,0.75,0.5,0.5,0.75,0.5
68,0.25,0.5,0.75,0.5,0.25,0.25
69,0.5,0.5,0.25,0.5,0.5,0.25
70,0.75,0.5,0.5,0.75,0.25,0.5
71,0.75,0.25,0.5,0.5,0.75,0.5
72,0.25,0.5,0.75,0.5,0.5,0.25
73,0.5,0.5,0.25,0.5,0.5,0.5
74,0.25,0.5,0.5,0.5,0.5,0.25
75,0.75,0.25,0.5,0.5,0.5,0.5
76,0.5,0.75,0.25,0.5,0.5,0.5
77,0.5,0.5,0.25,0.5,0.5,0.25
78,0.25,0.25,0.5,0.75,0.25,0.25
79,0.5,0.25,0.5,0.25,0.5,0.5
80,0.75,0.25,0.25,0.5,0.5,0.25
81,0.25,0.5,0.5,0.5,0.5,0.5
82,0.5,0.5,0.5,0.5,0.5,0.5
83,0.25,0.5,0.25,0.25,0.5,0.5
84,0.5,0.25,0.75,0.25,0.5,0.75
85,0.5,0.25,0.25,0.25,0.5,0.25
86,0.25,0.25,0.25,0.25,0.5,0.25
87,0.5,0.5,0.25,0.25,0.5,0.5
88,0.25,0.25,0.25,0.5,0.75,0.5
89,0.5,0.25,0.5,0.5,0.5,0.25
90,0.25,0.5,0.5,0.5,0.75,0.5
91,0.75,0.25,0.25,0.5,0.25,0.75
92,0.25,0.5,0.75,0.5,0.25,0.25
93,0.5,0.5,0.5,0.5,0.25,0.25
94,0.5,0.25,0.5,0.25,0.75,0.5
